lemma	def
Λεῦκος	companion of Odysseus; divinity at Miletus
Λητοΐδης	son of Leto
Λητώ	Leto
Λιβύη	Libya, the north part of Africa
Λικύμνιος	Licymnius
Λιμνώρεια	Limnoria
Λυκάων	Lycaon
Λυκομήδης	Lycomedes
Λυκοφόντης	Lycophontes
Λυκοῦργος	Lycurgus
Λυκόφρων	Lycophron
Λυρνησσός	Lyrnessus
Λωτοφάγοι	Lotus Eaters
Λύκαστος	Lycastus
Λύκιος	Lycian; (fem. noun) Lycia
Λύκτος	Lyctus
Λύκων	Lycon
Λύσανδρος	Lysander
Λῆθος	Lethus
Λῆμνος	Lemnos
Μάγνης	a Magnesian
Μάκαρ	Macar, son of Aeolus
Μάλεια	Malea (also Μαλέα)
Μάντιος	Mantius
Μάρις	Maris
Μάρων	son of Euanthes, priest of Apollo in Ismarus
Μάσης	Mas
Μάστωρ	Mastor
Μέγης	Meges
Μέδων	Medon
Μέλας	Melas
Μέλης	Meles
Μέμνων	the steadfast
Μέντης	Mentes
Μέντωρ	Mentor
Μένων	Meno
Μέρμερος	Mermerus
Μέροψ	Merops
Μέσθλης	Mesthles
Μέσσα	Messa
Μήστωρ	Mestor
Μίδεια	Mideia
Μίλητος	Miletus
Μίμας	a promontory in Ionia opposite Chios
Μίνως	Minos
Μαίανδρος	Maeander
Μαίων	Maeon
Μαιάς	Maia
Μαιμαλίδης	son of Maemalus, Pisander
Μαντίνεια	Mantinea
Μαραθών	Marathon
Μαρπήσση	Marpessa
Μαστορίδης	son of Mastor
Μαχάων	Machaon
Μαῖα	Maia
Μαῖρα	the sparkler
Μεγάδης	Megades
Μεγάρη	Megara, daughter of Creon in Thebes, wife of Heracles
Μεγαμηδεΐδης	son of Megamedes
Μεγαπένθης	Megapenthes
Μεδεών	Medeon, a town in Boeotia
Μελάμπους	Melampus
Μελάνθιος	Melanthius
Μελάνιππος	Melanippus
Μελέαγρος	Meleager
Μελίβοια	Meliboea
Μελίτη	Melite
Μελανεύς	Melaneus
Μελανθεύς	Melantheus (cp Melanthios)
Μελανθώ	Melantho
Μενέλαος	Menelaos
Μενέσθης	Menesthes
Μενέσθιος	Menesthius
Μενεσθεύς	Menestheus
Μενοίτιος	Menoetius
Μενοιτιάδης	son of Menoetius
Μερμερίδης	son of Mermesus
Μεσαύλιος	Mesaulius
Μεσσήνη	Messene
Μεσσηΐς	Messeis, a fountain in Thessaly
Μετάνειρα	Metaneira
Μηδεσικάστη	adorned-with-prudence
Μηθώνη	Methone
Μηκιστεύς	Mecisteus
Μηκιστηϊάδης	son of Mecisteus, Euryalus
Μηλόβοσις	Sheep-feeder
Μηριόνης	pudenda muliebria
Μνημοσύνη	Mnemosyne
Μνῆσος	Mnesus
Μολίων	Molion
Μούλιος	Mulius
Μοῦσα	the Muse
Μυγδών	Migdon
Μυκάλη	Mycale
Μυκήνη	Mycene, Mycenae
Μυκαλησσός	Mycalessus
Μυρίνη	Myrine
Μυρμιδόνες	Myrmidons
Μυσός	a Mysian
Μόλος	Molus, father of Meriones
Μόρυς	Morys
Μύδων	Mydon
Μύνης	Mynes
Μύρσινος	Myrsinus, Myrtuntium
Μῃονίη	Maeonia
Μῃονίς	Maeonian woman
Μῄων	Maeonian
Νάξος	Naxos
Νάστης	Nastes
Νέαιρα	Neaera
Νέστωρ	Nestor
Νήρικος	Nericus
Νήριτον	Neritus
Νήριτος	Neritus
Νήϊον	Neium
